Nro.,Variable,Descripción,Grilla,Tipo,Tipo de datos,Resolución nativa en metros,Fuente de datos original,Fecha de publicación,EPSG code,Cita de fuente de datos originales,Problemas conocidos,EE asset,Asset type
1,Áreas certificadas bajo el régimen de servicios ambientales,30m rasterized based on Mapbiomas grid,NO,Estatus de protección,Entero,30,Ministerio del Ambiente y Desarrollo Sostenible de Paraguay,Agosto 2022,4326,Ministerio del Ambiente y Desarrollo Sostenible (MADES). 2022. Base de datos espacial de áreas certificadas bajo el régimen de la ley 3001/06. Paraguay,,projects/arapy-487423/assets/eca/certified_areas_dec_2022,
2,elevation_tandem-x_edem,30m elevation dataset,NO,Topográficos,Punto flotante,30,Deutsche Zentrum für Luft - und Raumfahrt (DLR),2010-2014,4979,"Deutsche Zentrum für Luft - und Raumfahrt (DLR). 2024. TanDEM-X - Edited Digital Elevation Model (EDEM) - Global, 30m. https://download.geoservice.dlr.de/TDM30_EDEM/#details",,,
3,El SRTM Digital Elevation Data Version 4 (SRTM v4) ,90 m elevation DEM,NO,Topográficos,Entero,90,Google earth engine,2000,4326,"Jarvis, A., H.I. Reuter, A. Nelson, E. Guevara. 2008. Hole-filled SRTM for the globe Version 4, available from the CGIAR-CSI SRTM 90m Database: https://srtm.csi.cgiar.org.",,projects/arapy-487423/assets/topography/dem_PY_srtm_v4,
4,promedio anual de precipitación acumulada periodo 01-01-1994 a 01-01-2024,Los datos de precipitación fueron calculados utilizando la base de datos “CHIRPS Pentad: Climate Hazards Center InfraRed Precipitation With Station Data” dentro de la plataforma Google Earth Engine abarcando el periodo 01-01-1994 a 01-01-2024. Los datos resultantes corresponden al promedio anual de precipitación acumulada en milímetros.,NO,climáticos,Punto flotante,5566 ,CHIRPS pentad,2015,4326,"Funk, Chris, Pete Peterson, Martin Landsfeld, Diego Pedreros, James Verdin, Shraddhanand Shukla, Gregory Husak, James Rowland, Laura Harrison, Andrew Hoell & Joel Michaelsen. ""The climate hazards infrared precipitation with stations-a new environmental record for monitoring extremes"". Scientific Data 2, 150066. doi:10.1038/sdata.2015.66 2015.",,projects/arapy-487423/assets/precipitation,
5,Temperatura anual promedio en el periodo 1991-2019,"Para la generación de datos de temperatura se utilizó el set de datos de ERA 5 - Land1, el cual es un reanálisis
climático desarrollado por el ECMWF (Centro Europeo de Predicción Meteorológica a Medio Plazo).
Concretamente, se utilizó la banda de temperatura del aire (2m) en Kelvin, la cual fue convertida a grados
centígrados mediante la sustracción de 273,15.",,climáticos,Punto flotante,11132 ,ERA5-Land Hourly - ECMWF Climate Reanalysis,2019,4326,"Muñoz Sabater, J., (2019): ERA5-Land monthly averaged data from 1981 to present. Copernicus Climate Change Service (C3S) Climate Data Store (CDS). (<date of access>), doi:10.24381/cds.68d2bb30",,projects/arapy-487423/assets/temp,
6,MapBiomas colección 5 1985-2023,"Se utilizó el conjunto de datos MapBiomas colección 2 (https://paraguay.mapbiomas.org/mapas-de-la-
coleccion/), el cual proporciona mapas anuales de cobertura y uso del suelo a nivel nacional, con una
resolución espacial de 30 metros y una cobertura temporal que abarca desde el año 1985 hasta el 2023, lo
que permite analizar espacialmente y cuantificar cambios en la cobertura, tendencias de conversión de uso
y patrones de dinámica territorial a lo largo del tiempo.",,Uso y cobertura del suelo,Entero,30,Mapbiomas Paraguay,1985-2023,4326,MapBiomas Paraguay. (2024). MapBiomas Paraguay collección 2. Disponible en: https://paraguay.mapbiomas.org/,,,
7,WorldClimb 1970-2000,"Datos de WorldClimb 1970-2000:  temperatura mínima, media y máxima, precipitación, radiación solar, velocidad del viento, presión de vapor de agua y precipitación total. Además se incluyen variables bioclimáticas que se derivan de los valores mensuales de temperatura y precipitación para generar variables con mayor relevancia biológica. En total 26 raster de variables climáticas y derivadas",,climáticos,Entero,900,WorldClim,1970-2000,4326,Worldclimb. 2020. Historical climate data. Disponible en:https://worldclim.org/data/worldclim21.html ,,,
8,Formaciones forestales mayores o iguales a 1ha - Año 2023,,,Uso y cobertura del suelo,Entero,30,Generado a partir de Mapbiomas Paraguay colección 2,2023,4326,MapBiomas Paraguay. (2024). MapBiomas Paraguay collección 2. Disponible en: https://paraguay.mapbiomas.org/,,projects/arapy-487423/assets/forest_1ha_col,collection
9,Formaciones forestales más de 100 ha,,,Uso y cobertura del suelo,Entero,30,Generado a partir de Mapbiomas Paraguay colección 2,2023,4326,MapBiomas Paraguay. (2024). MapBiomas Paraguay collección 2. Disponible en: https://paraguay.mapbiomas.org/,,projects/arapy-487423/assets/forest_2023_over_100ha_MapBiomasPyCol2,image
10,Áreas silvestres protegidas de Paraguay actualizado a agosto de 2022,,,Estatus de protección,Entero,30,Generado a partir de datos del MADES 2022,Agosto 2022,4326,Ministerio del Ambiente y Desarrollo Sostenible – Paraguay (MADES). 2022. Base de datos espacial de áreas silvestres protegidas de Paraguay. Disponible en: https://informacionpublica.paraguay.gov.py/#!/ciudadano/solicitud/63421,,projects/arapy-487423/assets/protected_areas_raster,image
